,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,1.0,1.0,0.312755823135376,0.0,0.693396270275116,0.6493439674377441,0.3415094316005707,0.2378898561000824,0.5211220979690552,0.5454545617103577,0.4158698618412018,0.5197582840919495,Low
1,0.6569368243217468,0.4785550534725189,0.5377560257911682,0.9606837630271912,0.6621803641319275,0.6110869646072388,0.4966316223144531,0.14138877391815186,0.6869814991950989,0.47466444969177246,0.4782119691371918,0.5622797608375549,Ambient
2,0.6932262182235718,0.4590909481048584,0.18237535655498505,0.8036750555038452,0.4175826907157898,0.594556450843811,0.5397411584854126,0.11030303686857224,0.812382698059082,0.6254000663757324,0.689303457736969,0.5388761162757874,Object
3,0.80952388048172,0.3652583062648773,0.514504075050354,0.9696969389915466,0.6621379852294922,0.5121212005615234,0.5003962516784668,0.21315555274486542,0.5534465909004211,0.610310435295105,0.6023269295692444,0.5738980770111084,Single
4,0.6894920468330383,0.36426424980163574,0.3023524582386017,0.6923516988754272,0.4703148603439331,0.17523057758808136,0.37376394867897034,0.19773930311203003,0.4070596396923065,0.308160662651062,0.5305202007293701,0.4101136028766632,Weak
5,0.6379867196083069,0.27195289731025696,0.15825903415679932,0.7312833666801453,0.5187757015228271,0.41137567162513733,0.3492974042892456,0.24328063428401947,0.3891805410385132,0.41543707251548767,0.42440441250801086,0.41374853253364563,Strong
6,0.0,0.0,0.4344618320465088,0.0,0.0,0.0,0.5977392196655273,0.16611571609973907,1.0,0.0,0.41607460379600525,0.23767194151878357,Screen
7,0.7914438247680664,0.0,0.3147560656070709,0.0,0.0,0.5586037635803223,0.5842679142951965,0.1476963609457016,0.7700077891349792,0.0,0.5675929188728333,0.33948805928230286,Window
8,0.6363636255264282,0.01280335895717144,0.0,0.0,0.5177139043807983,1.0,0.636363685131073,0.0,1.0,0.0,0.21288597583770752,0.36510276794433594,Shadow
9,0.7840909361839294,0.617760956287384,1.0,0.5355926752090454,0.5336928963661194,0.6363636255264282,0.6848375201225281,0.0,0.6198347210884094,0.2545454502105713,0.33859527111053467,0.5459375977516174,Twilight
