,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,1.0,0.5824763774871826,0.3390389084815979,0.0,0.5700750350952148,0.5948265194892883,0.34052738547325134,0.3781076967716217,0.4570220708847046,0.6753246188163757,0.3719088137149811,0.4826642870903015,Low
1,0.6441256403923035,0.517970860004425,0.5028637647628784,0.9151515960693359,0.6584492921829224,0.6038418412208557,0.4710645079612732,0.21201030910015106,0.7163064479827881,0.469901978969574,0.45052018761634827,0.560200572013855,Ambient
2,0.6475532650947571,0.4624505937099457,0.1539633572101593,0.7272727489471436,0.41830793023109436,0.4891578257083893,0.5495850443840027,0.12545350193977356,0.7801517248153687,0.5989342331886292,0.6764998435974121,0.5117573142051697,Object
3,0.813852846622467,0.29558315873146057,0.5146843194961548,0.9696969389915466,0.5711439251899719,0.5272727608680725,0.508658230304718,0.20929209887981415,0.5799113512039185,0.48691460490226746,0.5730412602424622,0.5500046610832214,Single
4,0.615276038646698,0.30673298239707947,0.27699723839759827,0.6289697289466858,0.42871102690696716,0.12353896349668503,0.3257906436920166,0.2090955674648285,0.40715187788009644,0.27628323435783386,0.5248023867607117,0.37484997510910034,Weak
5,0.608841061592102,0.240255668759346,0.2519099712371826,0.7192344665527344,0.5044384002685547,0.3103563189506531,0.3632799983024597,0.27661779522895813,0.43437355756759644,0.4025801718235016,0.4274813234806061,0.4126698672771454,Strong
6,0.0,0.0,0.33234572410583496,0.0,0.0,0.0,0.7233198285102844,0.12291280180215836,1.0,0.0,0.4969712197780609,0.24323177337646484,Screen
7,0.9454545378684998,0.0,0.30108463764190674,0.0,0.0,0.6204545497894287,0.5821136236190796,0.1707364022731781,0.7542998194694519,0.0,0.6162785291671753,0.3627656102180481,Window
8,0.6363636255264282,0.011131726205348969,0.0,0.0,0.4953145384788513,1.0,0.5596591234207153,0.0,1.0,0.0,0.2395944446325302,0.358369380235672,Shadow
9,0.7954545617103577,0.5878676772117615,1.0,0.5876837372779846,0.5315465331077576,0.9090909361839294,0.6589353680610657,0.0,0.6181818246841431,0.3290043771266937,0.33552446961402893,0.5775718092918396,Twilight
