,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,0.7272727489471436,0.9090909361839294,0.294420450925827,0.0,0.6888982057571411,0.6528315544128418,0.2859729826450348,0.1778130978345871,0.45072904229164124,0.2142857313156128,0.48170560598373413,0.44391095638275146,Low
1,0.6458483338356018,0.5588789582252502,0.4985191226005554,0.9445632696151733,0.6720243096351624,0.5918965935707092,0.4734087884426117,0.10668925940990448,0.6935021877288818,0.4245327413082123,0.4784873425960541,0.5534864068031311,Ambient
2,0.6289488077163696,0.39234453439712524,0.1817118376493454,0.6440461277961731,0.4760299623012543,0.550542950630188,0.5493388175964355,0.09884580969810486,0.798410952091217,0.595824122428894,0.6810546517372131,0.5088271498680115,Object
3,0.8063241243362427,0.293993204832077,0.48061856627464294,0.9696969389915466,0.6607827544212341,0.49424242973327637,0.4897996783256531,0.20241878926753998,0.47585973143577576,0.6583490371704102,0.5877307653427124,0.5563469529151917,Single
4,0.729180634021759,0.31261003017425537,0.27888208627700806,0.6394984722137451,0.4638749659061432,0.2249401956796646,0.2800210118293762,0.21087850630283356,0.43217894434928894,0.29423701763153076,0.5422326326370239,0.40077587962150574,Weak
5,0.6260988712310791,0.2380465716123581,0.18601684272289276,0.692278265953064,0.5076512694358826,0.3467566967010498,0.3420937955379486,0.2461976259946823,0.5203869938850403,0.40705618262290955,0.4032510221004486,0.4105303883552551,Strong
6,0.0,0.0,0.35764238238334656,0.3333333730697632,0.0,0.0,0.5527310371398926,0.11463694274425507,1.0,0.0,0.2953585684299469,0.24124565720558167,Screen
7,0.811188817024231,0.0,0.3563118577003479,0.0,0.0,0.5730953812599182,0.5697610378265381,0.13095033168792725,0.6784206032752991,0.0,0.564628541469574,0.3349415063858032,Window
8,0.7727273106575012,0.003634819993749261,0.0,0.0,0.5161622762680054,1.0,0.696969747543335,0.0,1.0,0.0,0.23493993282318115,0.38403943181037903,Shadow
9,0.7954545617103577,0.5895413756370544,1.0,0.4987296462059021,0.5310097932815552,0.3636363744735718,0.49105343222618103,0.0,0.6033058166503906,0.27272728085517883,0.3272438049316406,0.4975184202194214,Twilight
