,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,1.0,0.7471074461936951,0.4110671877861023,0.0,0.6375041007995605,0.6817567348480225,0.3928811848163605,0.19908611476421356,0.5399230718612671,0.636363685131073,0.4143102169036865,0.5145454406738281,Low
1,0.6528210639953613,0.534395694732666,0.5126963257789612,0.938665509223938,0.6678943037986755,0.612696647644043,0.4691694676876068,0.20005901157855988,0.7087352871894836,0.46008509397506714,0.46172693371772766,0.5653586983680725,Ambient
2,0.6711835265159607,0.4545454680919647,0.17318710684776306,0.7933884859085083,0.4388362765312195,0.49750250577926636,0.5209160447120667,0.1110372394323349,0.7965486645698547,0.6421334147453308,0.6943852305412292,0.5266967415809631,Object
3,0.813852846622467,0.3476114273071289,0.5164710879325867,0.9480519890785217,0.6316567063331604,0.5399642586708069,0.5344376564025879,0.22122719883918762,0.5583252310752869,0.5671058297157288,0.5974507331848145,0.5705595016479492,Single
4,0.7082199454307556,0.31937095522880554,0.3010055720806122,0.6778741478919983,0.4781906008720398,0.12747253477573395,0.29940909147262573,0.21660293638706207,0.4565572142601013,0.29797980189323425,0.541506826877594,0.4021990895271301,Weak
5,0.6262915134429932,0.2601807713508606,0.23003265261650085,0.7291324734687805,0.5161234140396118,0.31562376022338867,0.3490608036518097,0.2554977536201477,0.45393919944763184,0.4045340120792389,0.4296768009662628,0.41546300053596497,Strong
6,0.0,0.0,0.3817397654056549,0.5,0.0,0.0,0.6035116314888,0.1462450623512268,1.0,0.0,0.5193106532096863,0.2864370048046112,Screen
7,0.9454545378684998,0.0,0.3085674047470093,0.0,0.0,0.579262912273407,0.5886059403419495,0.14688339829444885,0.7806132435798645,0.0,0.5912454724311829,0.3582393527030945,Window
8,0.6363636255264282,0.006305832881480455,0.0,0.0,0.5095421075820923,1.0,0.5670996308326721,0.0,1.0,0.0,0.22588865458965302,0.35865452885627747,Shadow
9,0.7954545617103577,0.5981127023696899,1.0,0.5743222236633301,0.5240798592567444,0.7454545497894287,0.6488208174705505,0.0,0.6035353541374207,0.3030303120613098,0.3314146101474762,0.5567477345466614,Twilight
