,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,1.0,1.0,0.33139753341674805,0.0,0.731009840965271,0.6863088607788086,0.3669653832912445,0.19257305562496185,0.511669933795929,1.0,0.503052294254303,0.574816107749939,Low
1,0.6699153184890747,0.5803216099739075,0.5162591338157654,0.9606060981750488,0.6718548536300659,0.6138496398925781,0.46537837386131287,0.1822429597377777,0.7089564204216003,0.49112480878829956,0.4742685854434967,0.5758888721466064,Ambient
2,0.6777129769325256,0.46483707427978516,0.1979866325855255,0.8185779452323914,0.4009023606777191,0.5639286041259766,0.5081644654273987,0.12456981837749481,0.8072525858879089,0.6083152890205383,0.6931235194206238,0.5332155823707581,Object
3,0.813852846622467,0.3760104775428772,0.5300409197807312,0.9480519890785217,0.6502358913421631,0.5658271908760071,0.5407198667526245,0.2073744684457779,0.596000611782074,0.5547889471054077,0.6127243041992188,0.5814206600189209,Single
4,0.6911763548851013,0.3726375997066498,0.300546795129776,0.6829860806465149,0.4830010235309601,0.15454545617103577,0.3171148896217346,0.22473745048046112,0.4376114308834076,0.31346815824508667,0.5426865816116333,0.41095560789108276,Weak
5,0.639474630355835,0.2860136032104492,0.22933074831962585,0.7385383248329163,0.5233204960823059,0.35789474844932556,0.3501708507537842,0.210435152053833,0.39594149589538574,0.4439629018306732,0.4357256591320038,0.41916438937187195,Strong
6,0.0,0.0,0.4239679276943207,0.5,0.0,0.0,0.6388939023017883,0.1580086648464203,1.0,0.0,0.46762722730636597,0.2898634374141693,Screen
7,0.8264462947845459,0.0,0.34715279936790466,0.0,0.0,0.6045350432395935,0.6231261491775513,0.1530539095401764,0.8562770485877991,0.0,0.6178799867630005,0.3662246763706207,Window
8,0.6363636255264282,0.009438992477953434,0.0,0.0,0.5374795794487,1.0,0.5565410256385803,0.0,1.0,0.0,0.24642552435398102,0.3623862564563751,Shadow
9,0.7954545617103577,0.6124276518821716,1.0,0.6082766652107239,0.5470699071884155,0.8545454740524292,0.6472947597503662,0.0,0.6272727251052856,0.3030303120613098,0.3212141990661621,0.5742351412773132,Twilight
