,bicycle,boat,bottle,bus,car,cat,chair,diningtable,dog,motorbike,person,mAP,lighting
0,1.0,0.5880681872367859,0.42561984062194824,0.0,0.7227586507797241,0.6530051231384277,0.3805771768093109,0.3611285090446472,0.48567742109298706,0.7727273106575012,0.3811527192592621,0.5246104598045349,Low
1,0.629399299621582,0.5584460496902466,0.5360026359558105,0.9839572310447693,0.6613677740097046,0.6279763579368591,0.48555392026901245,0.21278981864452362,0.7137360572814941,0.4840087294578552,0.4905462861061096,0.580344021320343,Ambient
2,0.6530035138130188,0.4678492248058319,0.16728773713111877,0.7369145750999451,0.47699588537216187,0.48637884855270386,0.5404946208000183,0.1149870976805687,0.7616357803344727,0.6416897773742676,0.7049301266670227,0.5229243040084839,Object
3,0.813852846622467,0.3526936173439026,0.518439769744873,0.9318181872367859,0.6188542246818542,0.5591093301773071,0.5217893123626709,0.179293692111969,0.5749176144599915,0.5418470501899719,0.606748640537262,0.5653967261314392,Single
4,0.6611203551292419,0.3107648491859436,0.31654584407806396,0.6428377032279968,0.4837707281112671,0.2083333432674408,0.3116203844547272,0.21014277637004852,0.3694034516811371,0.2919052243232727,0.5273113250732422,0.3939778208732605,Weak
5,0.6186760067939758,0.2634749114513397,0.28317275643348694,0.7211380004882812,0.5119290351867676,0.3169121742248535,0.3802286684513092,0.26654261350631714,0.4064679741859436,0.4141979217529297,0.42443814873695374,0.418834388256073,Strong
6,0.0,0.0,0.38024967908859253,0.5,0.0,0.0,0.6238348484039307,0.08043143898248672,1.0,0.0,0.5264496207237244,0.2828150689601898,Screen
7,0.9454545378684998,0.0,0.21208599209785461,0.0,0.0,0.6625357270240784,0.602425754070282,0.15429985523223877,0.8312344551086426,0.0,0.6297861337661743,0.36707475781440735,Window
8,0.6363636255264282,0.0019480520859360695,0.0,0.0,0.5273694396018982,1.0,0.6464647054672241,0.0,1.0,0.0,0.2435065060853958,0.3686956465244293,Shadow
9,0.7954545617103577,0.6009758114814758,1.0,0.5879966616630554,0.5524917840957642,1.0,0.6259471774101257,0.0,0.6090909242630005,0.3030303120613098,0.33724457025527954,0.5829301476478577,Twilight
